pH,EC,CO3,HCO3,Cl,SO4,NO3,Ca,Mg,Na,K,F,tds,Actual_WQI,Predicted_WQI,Calculated_WQI,Classification
8.0,1021.0,0.0,161.0,65.0,57.0,37.0,27.0,30.0,34.0,1.08,0.04,664,247.77648,256.9489314180002,285.1,Poor (Needs purification before use)
8.1,1415.0,0.0,214.0,69.0,7.0,3.0,71.0,30.0,45.0,13.0,0.2,920,327.5544,342.99576450399974,400.73,"Beyond Measurement (Immediate action required, potential disaster)"
7.7,972.0,0.0,190.0,65.0,25.0,34.0,22.0,30.0,66.0,1.55,0.17,632,237.6266,249.9860425999999,270.71000000000004,Poor (Needs purification before use)
7.5,404.0,0.0,213.57,7.08,4.93,1.29,24.0,30.38,1.35,0.68,0.28,262,106.45358,108.81054155,123.364,Moderate (Filtration required)
7.59,695.0,0.0,322.0,17.0,12.0,20.0,90.0,16.0,24.0,0.8,0.53,417,180.09106,180.22400860500002,200.877,"Beyond Measurement (Immediate action required, potential disaster)"
7.44,2210.0,0.0,244.0,383.4,81.6,125.0,120.0,68.1,206.6,8.4,0.84,1358,549.01426,564.8117444220001,601.862,Highly Polluted (Not for any domestic use)
7.27,1245.0,0.0,403.0,106.0,94.0,73.0,80.0,29.0,130.0,2.7,0.7,761,329.28498,325.611787296,339.281,"Very Poor (Not suitable for drinking, high risk)"
7.6,2290.0,0.0,549.18,333.23,140.5,72.6,68.0,85.064,247.6,8.3,1.7,1374,581.334316,581.7561826730002,597.7992,Highly Polluted (Not for any domestic use)
6.56,170.0,0.0,18.3,17.7,25.0,12.0,12.0,4.9,14.0,0.8,0.01,608,116.35274,117.31084639999996,250.238,Poor (Needs purification before use)
8.12,4842.0,0.0,390.0,1347.0,313.0,20.0,40.0,122.0,896.0,90.1,0.51,3244,1266.03928,1246.8786126899995,1348.636,Extremely Polluted (Only suitable for industrial use)
7.51,650.0,0.0,242.0,53.0,12.0,30.0,44.0,17.0,63.0,1.4,0.24,390,168.40054,169.006026239,176.553,Moderate (Filtration required)
8.48,1387.0,9.0,195.2,276.5,95.1,9.2,40.0,63.2,111.9,18.4,0.29,352,273.47522,281.0230658440001,174.30400000000003,Moderate (Filtration required)
7.82,592.0,0.0,195.2,56.7,30.5,0.1,52.0,16.8,38.3,4.6,0.07,489,169.29208,170.6194972400001,218.586,Poor (Needs purification before use)
7.37,796.0,0.0,172.0,87.0,74.0,52.0,64.0,27.0,48.0,10.2,0.13,477,205.53138,204.46414933800014,220.31100000000004,Poor (Needs purification before use)
7.68,5581.0,0.0,305.0,1278.0,439.3,276.0,84.0,136.0,849.0,6.4,5.0,3739,1454.07752,1442.5890573600002,1563.9040000000002,Extremely Polluted (Only suitable for industrial use)
7.42,735.0,0.0,366.0,43.0,26.0,58.3,78.0,32.0,40.0,4.0,1.53,505,211.15178,203.02651721499998,237.226,Poor (Needs purification before use)
7.02,1317.0,0.0,305.0,177.0,39.0,41.0,150.0,4.0,69.0,24.0,0.35,690,315.23428,314.49756789599996,324.306,"Very Poor (Not suitable for drinking, high risk)"
7.3,2054.0,0.0,488.2,249.7,69.7,129.4,148.0,73.9,99.4,7.7,0.29,1181,510.3173,526.0731870799996,541.1600000000001,Highly Polluted (Not for any domestic use)
8.24,923.0,0.0,384.3,85.2,79.0,41.9,60.0,26.6,99.4,42.5,0.34,608,260.55926,249.66750021200005,271.65200000000004,Poor (Needs purification before use)
8.26,510.0,0.0,152.5,36.4,19.0,27.3,49.8,4.9,29.2,13.6,0.3,306,130.52364,133.17052812999998,141.288,Moderate (Filtration required)
8.0,722.0,0.0,370.0,21.0,19.0,5.4,64.0,34.26864,21.0,1.9,0.52,469,192.7583906,193.61625782400003,219.48059200000003,Poor (Needs purification before use)
8.0,982.0,0.0,384.0,67.0,72.0,9.3,106.0,20.0,69.0,2.0,0.54,580,254.6469,254.23918268799997,272.2,Poor (Needs purification before use)
7.81,550.0,0.0,250.1,24.9,25.7,11.4,28.0,35.2,25.9,1.9,0.0,286,136.84644,139.24971799999992,135.703,Moderate (Filtration required)
7.82,1546.0,0.0,549.0,216.0,14.0,18.0,100.0,50.0,138.0,30.0,1.46,902,392.74948,392.5659921280001,408.146,"Severely Contaminated (Avoid drinking, high health risk)"
8.66,740.0,6.0,222.0,77.7,35.0,2.5,24.05,4.3,52.5,11.2,0.4,252,156.55019,159.48121917999993,111.903,Moderate (Filtration required)
8.3,1148.0,36.0,476.0,71.0,76.0,6.9,40.0,78.0,96.0,1.9,0.93,769,308.4463,309.218536765,345.49,"Very Poor (Not suitable for drinking, high risk)"
7.4,694.0,0.0,237.978,70.9,20.5,49.3,34.0,18.228,78.9,1.4,1.2,416,182.39932,178.97303331599997,184.2884,Moderate (Filtration required)
7.8,1223.0,0.0,476.0,120.5,52.6,3.4,70.1,35.2,118.3,4.4,0.83,657,303.9446,300.10229719999995,296.72999999999996,Poor (Needs purification before use)
7.84,528.0,0.0,226.0,32.0,12.0,23.0,62.0,11.0,27.0,5.6,0.73,76,104.48036,100.74237723999997,54.652,Good (Minor treatment needed)
6.74,1205.0,0.0,323.0,167.0,8.0,13.0,40.0,43.0,98.0,4.0,1.5,571,274.02336,279.0392801999999,255.322,Poor (Needs purification before use)
7.4,1187.0,0.0,573.0,135.0,61.0,3.0,140.0,40.0,71.0,4.2,0.0,712,319.5488,306.98914516799994,341.02000000000004,"Very Poor (Not suitable for drinking, high risk)"
7.52,687.0,0.0,390.0,7.0,0.0,27.0,100.0,11.0,16.0,4.0,0.0,403,181.96228,180.73343039999992,196.75600000000003,Moderate (Filtration required)
8.531,465.0,42.0,262.5098,38.995,63.1246,0.9865,32.03,37.60583,58.23,15.55,0.57,302,137.4151606,129.47113935100003,144.250049,Moderate (Filtration required)
7.64,2010.0,0.0,366.0,283.6,105.6,232.0,56.0,102.1,184.0,9.0,0.76,608,434.96866,432.0255436000001,292.922,Poor (Needs purification before use)
7.33,197.0,0.0,85.4,11.36,12.6,7.6,28.8576,0.0,3.84,6.7,0.0,118,53.2259432,52.759989225999995,58.05628,Good (Minor treatment needed)
7.91,1334.0,0.0,555.3,88.6,72.4,22.5,38.1,65.6,118.5,0.3,1.33,620,319.18484,317.6494617999998,281.483,Poor (Needs purification before use)
7.84,641.0,0.0,402.6,14.2,5.0,0.0,76.0,31.2,9.7,4.5,0.0,489,186.34126,185.09235320000008,230.11200000000002,Poor (Needs purification before use)
7.7,1589.0,0.0,476.0,146.0,68.0,101.0,146.0,46.0,103.0,1.9,0.42,1033,420.9272,420.6349322659998,473.11,"Severely Contaminated (Avoid drinking, high health risk)"
7.57,548.0,0.0,91.5,102.8,50.0,2.1,30.1,24.3,24.4,34.2,0.63,710,193.20148,201.9907412,302.591,"Very Poor (Not suitable for drinking, high risk)"
8.72,1501.0,51.0,291.0,238.0,99.0,16.0,82.0,59.0,119.0,20.0,0.71,900,373.96608,375.3339081490002,404.916,"Severely Contaminated (Avoid drinking, high health risk)"
7.64,1689.0,0.0,329.5,234.0,50.2,200.2,96.2,79.0,119.4,2.6,0.38,620,379.51476,377.3611983999999,302.852,"Very Poor (Not suitable for drinking, high risk)"
7.73,2350.0,0.0,220.0,334.0,140.0,283.0,128.0,119.0,128.0,1.9,0.44,1410,592.35362,593.933632585,640.419,Highly Polluted (Not for any domestic use)
7.58,1870.0,0.0,500.0,270.0,140.0,4.2,84.0,51.0,192.0,36.0,0.38,1126,476.78972,480.9794884000002,493.17400000000004,"Severely Contaminated (Avoid drinking, high health risk)"
7.02,1605.0,0.0,460.0,217.0,52.0,40.0,136.0,38.0,130.0,11.3,0.36,963,408.14208,412.24587208,439.50600000000003,"Severely Contaminated (Avoid drinking, high health risk)"
7.84,280.0,0.0,98.0,43.0,32.0,0.0,10.0,33.0,7.0,5.0,0.57,168,74.75376,73.51983695199993,82.45200000000001,Good (Minor treatment needed)
7.57,1554.0,0.0,280.6,213.0,83.0,170.6,120.0,55.7,48.0,81.0,1.48,608,356.83168,354.7468436,298.181,Poor (Needs purification before use)
7.2,1479.0,0.0,451.4,120.5,18.2,7.9,68.0,53.5,77.4,20.8,0.85,1126,393.8004,414.4696286599999,489.01000000000005,"Severely Contaminated (Avoid drinking, high health risk)"
7.9,539.0,0.0,244.0,42.0,9.0,0.0,28.0,31.0,34.0,3.5,0.56,323,138.7686,141.4841789010001,149.27,Moderate (Filtration required)
8.02,492.7,0.0,183.1,39.0,38.2,9.1,34.1,25.5,28.2,0.6,0.32,547,164.30758,164.2273276,239.086,Poor (Needs purification before use)
7.4,1429.0,0.0,384.0,124.0,111.0,48.0,110.0,32.0,111.0,4.2,1.42,773,351.0328,354.95907383300005,354.0200000000001,"Very Poor (Not suitable for drinking, high risk)"
7.64,604.0,0.0,226.0,50.0,31.0,17.0,34.0,27.0,42.0,2.0,0.86,1126,265.61096,265.516461576,470.992,"Severely Contaminated (Avoid drinking, high health risk)"
7.99,1290.0,0.0,348.0,136.0,95.0,57.0,101.0,42.0,98.0,3.3,0.45,839,341.10866,337.133375071,380.897,"Very Poor (Not suitable for drinking, high risk)"
7.4,1142.0,0.0,157.0,202.0,68.0,78.0,88.0,21.0,112.0,10.9,1.34,685,291.25,294.6013330720001,308.92,"Very Poor (Not suitable for drinking, high risk)"
7.6,216.0,0.0,48.0,21.0,6.0,11.0,20.0,5.0,10.0,0.61,0.01,140,55.57856,57.73034663599998,65.78,Good (Minor treatment needed)
7.87,1830.0,0.0,189.0,270.0,352.0,35.0,42.0,103.0,142.0,3.0,0.59,1098,464.07718,457.761357358,485.06100000000004,"Severely Contaminated (Avoid drinking, high health risk)"
7.78,1784.0,0.0,488.0,167.0,177.6,47.0,50.0,22.0,136.0,276.0,0.46,1173,481.64012,476.74643268600005,493.13400000000007,"Severely Contaminated (Avoid drinking, high health risk)"
7.6,837.0,0.0,287.0,79.0,28.0,28.0,73.0,19.0,69.0,1.6,0.28,544,221.427,222.89368587999994,247.48000000000002,Poor (Needs purification before use)
7.73,934.0,0.0,437.0,47.0,19.0,7.0,44.0,40.0,83.0,4.2,0.59,560,240.82442,241.64376950000005,251.51899999999998,Poor (Needs purification before use)
6.92,160.0,0.0,20.6,19.9,2.9,21.3,10.0,2.1,16.0,5.7,0.04,244,62.63668,61.20548138000001,103.306,Moderate (Filtration required)
8.01,647.0,0.0,264.0,40.0,33.0,7.0,26.0,33.0,47.0,11.0,0.17,388,166.73014,168.48243942499997,175.303,Moderate (Filtration required)
7.13,97.18,0.0,30.5,14.2,0.9,0.8,6.0,4.9,4.3,0.5,0.12,473,84.34694,83.12000710000002,194.60900000000004,Moderate (Filtration required)
7.6,1011.0,0.0,296.0,99.0,71.0,50.0,50.0,36.0,81.0,20.0,0.22,608,261.7674,263.54486672100006,271.28000000000003,Poor (Needs purification before use)
7.53,515.9,0.0,305.1,7.1,15.5,4.3,16.0,41.3,27.7,1.6,0.2,551,171.44232,168.92531980000007,239.849,Poor (Needs purification before use)
7.4,1908.0,0.0,516.0,277.0,11.0,146.0,107.0,134.0,59.0,1.1,0.51,1240,499.3932,492.2089705559996,570.52,Highly Polluted (Not for any domestic use)
8.44,420.0,12.0,104.4,38.3,14.3,24.0,24.2,9.8,30.4,12.8,0.06,30,74.55116,80.5574968999999,24.732,Excellent (Safe for drinking)
7.9,677.0,0.0,183.0,74.0,38.0,50.0,30.0,39.0,46.0,3.0,1.02,1126,278.2356,277.468782,473.47,"Severely Contaminated (Avoid drinking, high health risk)"
7.5,966.0,0.0,119.0,135.0,31.0,41.0,30.0,38.0,42.0,1.83,0.52,628,237.27048,248.24099743999994,273.85,Poor (Needs purification before use)
7.49,1157.0,0.0,476.0,105.0,10.0,16.0,136.0,23.0,70.0,1.3,1.12,152,220.34366,215.30803393999992,110.747,Moderate (Filtration required)
7.78,2460.0,0.0,586.0,327.0,242.0,19.0,48.0,61.0,450.0,3.5,0.98,1476,631.08492,627.3482009279996,625.434,Highly Polluted (Not for any domestic use)
7.58,1570.0,0.0,248.0,260.0,165.0,48.0,104.0,34.0,165.0,16.0,1.47,942,400.79712,400.4102834,420.474,"Severely Contaminated (Avoid drinking, high health risk)"
7.17,286.0,0.0,128.0,12.0,13.0,6.0,24.0,9.0,23.0,0.8,0.27,597,136.13118,136.32862999999995,250.85100000000003,Poor (Needs purification before use)
7.39,1206.0,0.0,305.1,191.7,101.7,4.1,132.0,31.6,72.9,10.8,0.95,1126,367.24646,367.80563259999997,501.697,Highly Polluted (Not for any domestic use)
8.01,1455.0,0.0,36.0,455.0,45.0,11.0,103.0,29.0,152.0,3.5,2.1,873,356.03314,365.44389635599987,391.2030000000001,"Very Poor (Not suitable for drinking, high risk)"
7.9,177.0,0.0,32.5,20.5,16.0,0.3,15.0,3.9,15.0,3.6,0.2,196,57.5242,60.71125744000003,86.44000000000001,Good (Minor treatment needed)
7.67,2161.0,0.0,427.1,343.9,137.9,37.9,64.1,72.9,207.7,36.2,0.6,634,444.69478,451.99826959999996,297.00100000000003,Poor (Needs purification before use)
8.42,4780.0,108.0,488.0,853.0,349.0,61.6,198.0,53.2,533.0,241.2,1.03,608,852.76368,873.719679400001,321.086,"Very Poor (Not suitable for drinking, high risk)"
7.64,1607.0,0.0,378.0,305.0,87.0,44.0,64.0,100.0,138.0,6.4,1.2,1077,427.62636,421.63386718300023,482.292,"Severely Contaminated (Avoid drinking, high health risk)"
7.68,1050.0,0.0,476.0,106.0,48.0,2.0,38.0,55.0,125.0,2.2,1.2,668,282.82272,278.3632518499998,297.40399999999994,Poor (Needs purification before use)
7.43,390.0,0.0,98.0,35.0,1.0,67.0,38.0,13.0,14.3,0.3,0.83,230,102.70292,101.09674375119995,109.529,Moderate (Filtration required)
7.62,384.7,0.0,201.4,10.6,7.0,8.0,50.1,2.4,23.5,0.4,0.29,281,109.35468,111.32341645199999,130.436,Moderate (Filtration required)
8.02,933.0,0.0,353.8,81.7,52.1,3.1,24.0,62.0,67.0,5.2,0.88,1173,326.02298,332.5758512,497.40600000000006,"Severely Contaminated (Avoid drinking, high health risk)"
7.72,989.0,0.0,431.0,62.0,27.0,16.0,98.0,34.0,39.0,4.1,0.45,593,255.15968,256.3264648000001,279.11600000000004,Poor (Needs purification before use)
7.5,900.0,0.0,427.0,64.0,33.0,1.6,52.0,32.0,85.0,20.0,0.74,603,245.6918,245.638983961,268.65000000000003,Poor (Needs purification before use)
8.1,373.0,0.0,183.0,17.7,14.4,5.0,32.0,13.0,21.0,4.0,0.11,242,101.2614,100.32675676,112.73000000000002,Moderate (Filtration required)
7.0,2420.0,0.0,408.834,503.39,87.5,83.6,208.0,65.6208,179.8,1.6,0.9,1452,608.6172672,607.8521117279998,664.9862400000001,Highly Polluted (Not for any domestic use)
6.9,69.34,0.0,24.42,17.73,4.55,1.63,9.99,2.42,4.97,1.6,0.07,181,39.95445,42.855433739999995,78.193,Good (Minor treatment needed)
7.9,680.0,0.0,189.0,85.0,38.0,12.0,28.0,15.0,92.0,4.1,0.69,442,178.6672,180.03426847799997,192.07000000000002,Moderate (Filtration required)
7.3,786.0,0.0,268.488,60.18,37.0,41.1,38.0,51.0384,24.56,6.1,0.0,510,207.0405816,206.61927367900014,232.90152,Poor (Needs purification before use)
7.62,215.0,0.0,113.7,12.9,10.0,1.5,39.0,2.7,17.9,1.6,0.09,500,112.51198,113.36439430000001,214.796,Poor (Needs purification before use)
7.431,98.09,0.0,103.8,7.1,0.4,10.2,28.0,4.8,6.1,4.6,0.31,181,51.293694,51.26470526000001,84.4693,Good (Minor treatment needed)
7.4,2350.0,0.0,232.0,418.0,113.0,143.0,168.0,80.0,91.0,16.0,0.4,1126,536.7456,545.3648045300002,527.0200000000001,Highly Polluted (Not for any domestic use)
8.0,238.0,0.0,110.0,14.2,10.4,2.5,22.0,7.0,14.0,1.0,0.07,154,64.5805,64.92926106799999,72.7,Good (Minor treatment needed)
8.09,680.0,0.0,305.1,24.9,22.5,20.2,63.0,30.7,17.1,4.7,0.35,1181,286.83306,287.34439039999995,502.93700000000007,Highly Polluted (Not for any domestic use)
8.06,1116.0,0.0,219.6,170.2,125.0,51.0,64.0,50.4,100.0,5.6,0.3,489,264.00884,257.3595424319999,232.33800000000002,Poor (Needs purification before use)
9.73,1439.0,60.0,299.0,121.0,22.0,6.0,20.0,46.0,52.0,18.0,0.05,921,342.74622,362.50198378399983,391.119,"Very Poor (Not suitable for drinking, high risk)"
8.27,750.0,60.0,179.0,85.0,2.0,21.0,60.0,27.0,42.0,16.71,0.63,503,191.83554,193.9260981139999,229.781,Poor (Needs purification before use)
7.8,714.0,0.0,125.0,72.0,38.0,41.0,29.0,30.0,20.0,0.76,0.54,464,179.40376,184.79577370799998,205.64000000000001,Poor (Needs purification before use)
8.18,1113.0,0.0,488.0,85.2,29.1,5.4,104.0,37.7,56.2,13.5,0.94,60,200.70182,204.4181223679999,68.964,Good (Minor treatment needed)
7.6,718.0,0.0,226.0,34.0,39.0,34.0,55.0,23.0,59.0,1.08,0.78,467,188.31488,190.95467256600008,212.48000000000002,Poor (Needs purification before use)
7.28,92.0,0.0,26.84,7.1,1.28,18.0,11.2224,0.4864,4.33,6.3,0.0,55,26.0725124,24.193139843999987,27.696640000000002,Excellent (Safe for drinking)
7.1,219.0,0.0,101.0,15.0,6.0,0.0,16.0,9.0,14.0,1.8,0.14,142,58.8012,59.69208688299997,66.43,Good (Minor treatment needed)
8.24,640.0,0.0,227.0,67.0,26.0,12.4,87.0,11.0,19.0,8.5,0.22,608,197.64956,195.30093620000014,275.072,Poor (Needs purification before use)
7.71,2850.0,0.0,372.2,453.8,231.4,204.1,210.4,161.6,92.0,2.0,0.33,1168,640.97724,645.6833718999997,581.113,Highly Polluted (Not for any domestic use)
10.24,914.0,84.0,707.6,616.8,115.2,198.4,14.0,32.8,573.0,508.0,0.29,608,410.33756,253.2700780649999,260.312,Poor (Needs purification before use)
7.5,544.0,0.0,137.0,35.0,34.0,10.4,91.0,9.0,19.0,17.5,0.05,354,141.0912,144.43664992599994,173.85,Moderate (Filtration required)
8.2,400.0,0.0,207.0,14.0,21.0,0.0,48.0,2.0,37.0,5.1,0.48,240,107.4014,106.31052727000005,113.46,Moderate (Filtration required)
7.87,970.0,0.0,293.0,117.0,33.0,56.0,100.0,32.0,48.0,0.5,0.61,565,248.62818,247.47057414700012,267.961,Poor (Needs purification before use)
7.6,643.0,0.0,256.0,43.0,18.0,36.0,48.0,44.0,17.0,6.0,0.72,1126,273.3814,273.74165,480.28000000000003,"Severely Contaminated (Avoid drinking, high health risk)"
7.9,132.2,0.0,73.26,24.82,15.8,0.37,29.98,7.28,6.47,1.48,0.14,181,54.48344,55.34471124000002,85.94800000000001,Good (Minor treatment needed)
7.4,1556.0,0.0,408.834,219.79,68.5,98.7,56.0,89.9248,119.9,11.6,1.0,933,400.7780832,400.56892123800003,419.1974400000001,"Severely Contaminated (Avoid drinking, high health risk)"
7.8,1723.0,0.0,506.0,210.0,22.0,41.0,204.0,41.0,72.0,3.9,0.15,1120,444.5136,446.434940526,523.8399999999999,Highly Polluted (Not for any domestic use)
8.02,465.0,0.0,231.8,35.5,11.2,3.0,20.0,34.0,24.8,6.7,0.32,675,179.03528,173.12792260000006,288.606,Poor (Needs purification before use)
8.02,480.0,0.0,128.0,92.0,8.0,19.0,32.0,16.0,48.0,8.0,0.08,302,126.82528,124.21693582100009,137.60600000000002,Moderate (Filtration required)
7.72,659.6,0.0,384.3,28.4,0.6,5.8,68.0,37.7,10.7,4.7,0.11,292,160.06168,160.36678700000002,150.82600000000002,Moderate (Filtration required)
7.5,706.0,0.0,232.0,57.0,35.0,10.0,53.0,16.0,49.0,1.7,0.21,459,183.5532,187.68290809199993,206.55,Poor (Needs purification before use)
7.58,706.0,0.0,287.0,50.0,41.0,29.0,72.0,21.0,42.0,13.6,0.97,423,187.42672,183.59784202,199.37400000000002,Moderate (Filtration required)
8.05,1410.0,0.0,359.9,202.1,1.0,37.0,102.0,55.9,82.8,11.6,0.57,399,285.254,300.54067653600015,209.38500000000002,Poor (Needs purification before use)
7.5,1215.0,0.0,442.0,92.0,12.0,109.0,103.0,31.0,93.0,3.2,0.36,790,327.4402,319.71495506799994,358.45,"Very Poor (Not suitable for drinking, high risk)"
7.6,1125.0,0.0,328.0,100.0,48.0,94.0,106.0,60.0,20.0,2.0,1.03,731,298.3094,296.18683401999994,344.48,"Very Poor (Not suitable for drinking, high risk)"
7.41,3875.0,0.0,732.0,709.0,162.0,75.0,164.0,83.0,506.0,45.8,0.45,2191,951.86454,960.8033858939988,952.7230000000001,Highly Polluted (Not for any domestic use)
7.06,657.0,0.0,305.0,10.7,43.0,2.3,76.0,20.7,14.0,4.2,0.81,1000,256.96344,261.74678059999997,431.128,"Severely Contaminated (Avoid drinking, high health risk)"
8.03,2117.0,0.0,823.5,145.6,161.2,10.0,30.0,149.4,150.9,33.0,0.55,84,373.58432,372.43312099999997,89.82900000000001,Good (Minor treatment needed)
7.08,240.0,0.0,61.0,18.0,21.0,56.0,30.0,10.0,7.0,5.2,0.18,184,74.32332,67.25515285999998,87.724,Good (Minor treatment needed)
7.8,899.0,0.0,341.0,63.0,38.0,25.0,50.0,27.0,95.0,1.7,0.98,575,237.3184,235.96164191599996,255.44,Poor (Needs purification before use)
8.0,912.0,0.0,357.0,88.0,22.0,10.0,78.0,9.0,92.0,11.9,0.55,547,235.8824,235.68975168400004,247.3,Poor (Needs purification before use)
7.34,887.0,0.0,268.0,92.0,38.0,52.0,66.0,29.0,63.0,10.7,0.88,577,235.91096,235.6337890950001,261.502,Poor (Needs purification before use)
7.1,523.0,0.0,159.0,58.0,28.0,12.0,34.0,21.0,39.0,1.8,0.69,313,133.5752,136.19787068300002,143.82999999999998,Moderate (Filtration required)
8.08,355.6,0.0,61.05,70.9,30.82,4.67,50.04,4.83,10.92,14.15,0.89,204,90.50606,93.17731719699998,100.48500000000001,"Beyond Measurement (Immediate action required, potential disaster)"
7.11,350.0,0.0,24.4,63.9,11.3,53.1,18.036,8.512,28.2,8.9,0.0,210,90.57394,90.48626702699998,94.0974,Good (Minor treatment needed)
8.0,628.0,0.0,303.0,22.0,13.0,7.0,63.0,22.0,27.0,0.5,0.2,408,167.051,168.67635306,191.10000000000002,Moderate (Filtration required)
7.98,4890.0,0.0,256.0,950.0,900.0,46.0,200.0,122.0,630.0,33.0,1.6,3276,1290.62772,1261.63737462,1409.394,Extremely Polluted (Only suitable for industrial use)
7.99,457.1,0.0,115.9,99.3,0.0,6.4,26.0,7.3,55.3,14.8,0.11,63,87.12626,89.25028371999996,37.587,Excellent (Safe for drinking)
7.89,1358.0,0.0,658.0,58.0,17.0,7.0,30.0,40.0,192.0,7.5,0.26,814,350.82846,350.6568692040001,348.96700000000004,"Very Poor (Not suitable for drinking, high risk)"
7.43,989.0,0.0,366.0,80.0,22.0,53.0,70.0,41.0,63.0,1.2,0.62,597,256.20022,257.0980798080002,274.329,Poor (Needs purification before use)
7.21,306.3,0.0,170.9,17.7,6.8,4.1,34.1,3.6,30.1,0.8,0.21,231,90.14924,88.63432436680002,105.873,Moderate (Filtration required)
8.27,219.0,0.0,115.9,7.1,2.4,0.0,20.0,10.9,5.6,3.6,0.1,333,86.35148,85.40714137999997,144.95100000000002,Moderate (Filtration required)
7.92,605.0,0.0,244.0,42.6,52.0,0.0,44.0,16.8,62.0,2.6,1.04,489,176.94628,175.21249119999993,216.21600000000004,Poor (Needs purification before use)
7.32,810.0,0.0,366.0,71.0,51.0,8.0,70.0,29.0,63.0,6.0,0.77,522,221.01648,216.29618376000002,240.696,Poor (Needs purification before use)
6.86,540.6,0.0,177.04,77.99,4.05,1.56,20.02,36.4,11.74,9.87,0.43,324,134.77034,139.615414457,148.58399999999997,Moderate (Filtration required)
8.5,2493.0,93.0,555.0,298.0,106.0,249.0,104.0,61.0,255.0,199.0,0.02,1666,677.622,656.0175047039996,718.45,Highly Polluted (Not for any domestic use)
7.54,912.0,0.0,462.0,22.0,12.0,20.0,94.0,21.0,53.0,3.4,1.45,547,238.05496,238.5646447659998,255.562,Poor (Needs purification before use)
7.5,780.0,0.0,329.5,81.5,1.5,5.6,52.0,35.2,31.0,39.1,0.47,1181,302.9142,302.2871134000001,500.81000000000006,"Beyond Measurement (Immediate action required, potential disaster)"
7.63,1460.0,0.0,543.0,167.0,48.0,5.0,100.0,44.0,138.0,13.0,0.2,846,371.00882,368.4885864079999,383.889,"Very Poor (Not suitable for drinking, high risk)"
8.52,5070.0,132.0,451.0,1115.0,310.0,72.0,24.0,39.0,1025.0,2.2,0.94,3397,1305.46148,1309.6106703000007,1380.2560000000003,Extremely Polluted (Only suitable for industrial use)
6.2,392.0,0.0,67.122,63.81,17.0,49.4,20.0,24.304,21.9,1.0,0.2,235,102.377268,100.58852981200002,109.1512,Moderate (Filtration required)
7.0,954.0,0.0,360.018,85.08,60.5,43.6,60.0,36.456,87.5,1.8,0.3,572,252.204752,246.04048614299995,259.8368,Poor (Needs purification before use)
